team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,label
Mercer,SC,32,73.1,114.5,21.3,51.0,54.67,9.8,22.9,13.7,14.8,69,89,0.775,85,175,0.486,48,133,0.361,1.5,1.7,28.9,So,6-6,15.0,2.58047,113.369,3.2,2016,33489,"Marietta, GA",,1.28578885,57.0,84.0,28.0,91.0,0.6786,0.3077,12.0,13.0,0.9231,100.1,101.808,2.85058,197.993,3.64332,3.0516,0.591714,3.12263,29.9062,3.13103,-0.00839459,2.4688,6.1562,8.625,1.9688,0.8125,0.3438,11.9688,Stretch 4,8.56172,1996-07-04,0
Mercer,SC,29,17.3,94.4,19.9,47.6,50.75,7.9,17.7,1.8,20.6,16,25,0.64,30,63,0.476,0,0,0.0,13.2,0.3,39.7,Jr,7-1,55.0,0.11359,92.2295,5.8,2016,33490,"Cumming, GA",,0.13341067,21.0,33.0,9.0,30.0,0.6364,0.3,4.0,6.0,0.6667,99.4826,101.126,0.759039,47.7472,-3.14301,-6.1888,3.04578,-4.73466,7.7931,-5.67925,0.944597,0.5172,1.2414,1.7586,0.069,0.0345,0.7931,2.6207,C,0.0,1993-08-24,0
Mercer,SC,12,2.5,69.7,17.4,0.0,61.86,7.2,10.1,0.0,53.8,6,6,1.0,0,2,0.0,0,0,0.0,0.0,0.0,300.0,So,6-10,52.0,-0.208202,65.4201,9.7,2016,33493,"Berlin, Germany",,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,109.606,112.328,0.162792,4.60203,-14.8774,-10.1254,-4.75201,-13.897,2.75,-11.8652,-2.03188,0.1667,0.25,0.4167,0.0,0.0,0.0,0.5,C,0.0,1995-10-03,0
Loyola MD,Pat,28,50.2,116.5,14.4,61.7,63.85,7.5,11.1,6.7,18.7,37,53,0.698,68,107,0.636,2,8,0.25,3.3,1.2,46.1,So,6-4,35.0,1.31164,105.505,4.8,2016,33513,"Columbia, MD",,0.71429998,67.0,103.0,1.0,4.0,0.6505,0.25,6.0,6.0,1.0,110.144,112.04,1.33369,98.9148,0.270264,0.404359,-0.134095,-0.570142,22.0714,-0.168149,-0.401992,1.4286,2.0714,3.5,0.7143,0.4286,0.6786,6.3929,Wing G,0.766768,1996-04-11,0
Hawaii,BW,20,7.0,61.4,19.5,20.0,32.96,1.3,9.8,14.8,35.0,8,9,0.889,4,6,0.667,0,14,0.0,0.0,2.5,45.0,So,6-0,3.0,-0.416983,61.0494,6.2,2016,33523,"Rancho Palos Verdes, CA",,0.72727272,2.0,3.0,2.0,3.0,0.6667,0.6667,0.0,0.0,,95.313,98.5433,0.486909,16.6171,-7.62009,-7.88709,0.266994,-11.4114,4.5,-11.1547,-0.256664,0.05,0.4,0.45,0.4,0.2,0.0,0.8,Wing G,8.69348,1995-10-15,0
St. Francis NY,NEC,27,37.9,90.6,10.4,45.5,47.35,5.5,9.6,3.9,23.2,11,19,0.579,14,30,0.467,11,37,0.297,1.0,2.0,28.4,Fr,6-4,13.0,-0.737658,75.6992,3.0,2016,33534,"Radcliff, KY",,0.47363932,9.0,19.0,5.0,11.0,0.4737,0.4545,0.0,1.0,0.0,101.166,106.74,1.39917,77.3572,-4.20038,-4.18323,-0.0171545,-3.62522,17.5556,-4.25441,0.62919,0.8889,1.4815,2.3704,0.3333,0.5926,0.1852,2.6667,Wing G,4.67887,1996-07-25,0
St. Francis NY,NEC,5,10.3,90.6,21.1,35.9,37.87,1.7,3.5,29.7,13.2,4,6,0.667,6,21,0.286,7,25,0.28,0.7,1.9,13.0,So,5-11,10.0,0.390769,92.2852,4.0,2016,33535,"Staten Island, NY",,2.8333333,3.0,6.0,3.0,15.0,0.5,0.2,0.0,0.0,,104.096,104.803,2.24862,18.1124,-7.68173,-3.13931,-4.54241,-3.3922,25.8,-1.29778,-2.09443,0.4,0.8,1.2,3.4,0.8,0.2,7.4,Pure PG,11.6327,1996-06-28,0
Southeastern Louisiana,Slnd,26,39.8,103.4,19.6,46.8,56.27,1.4,7.0,12.9,19.8,69,85,0.812,37,86,0.43,14,38,0.368,0.2,2.1,68.5,Fr,6-2,2.0,0.685015,98.3182,5.4,2016,33539,"Gulfport, MS",,0.97055894,28.0,55.0,9.0,31.0,0.5091,0.2903,0.0,0.0,,110.171,115.807,0.929799,80.2092,-4.43188,-1.65841,-2.77347,-3.88746,19.0769,-2.74034,-1.14712,0.2308,1.1923,1.4231,1.2692,0.6923,0.0385,7.1154,Combo G,4.3566,1996-10-15,0
St. Francis NY,NEC,31,82.8,99.5,23.3,45.3,48.78,6.3,12.4,14.9,15.4,85,129,0.659,95,209,0.455,45,150,0.3,0.7,1.9,35.9,Sr,6-1,0.0,1.37359,99.8722,2.4,2016,33544,"Bronx, NY",,1.01615,75.0,136.0,17.0,67.0,0.5515,0.2537,6.0,6.0,1.0,100.561,106.456,2.69665,173.78,-1.49508,-0.578666,-0.916416,-0.808057,33.3871,-0.0181929,-0.789864,1.9677,3.6452,5.6129,2.0323,1.0323,0.2581,13.2258,Wing G,8.6824,1993-09-04,0
UC Irvine,BW,15,2.1,22.9,10.2,0.0,0.0,7.9,10.6,0.0,0.0,0,1,0.0,0,6,0.0,0,0,0.0,7.4,0.0,16.7,Sr,6-8,20.0,-0.483535,18.2467,4.0,2016,33550,"Torrance, CA",,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,100.409,100.416,0.204761,4.96284,-9.09424,-9.54875,0.454519,-8.95582,2.0,-7.28251,-1.6733,0.1333,0.2,0.3333,0.0,0.0,0.1333,0.0,C,0.0,1993-03-20,0
Michigan,B10,33,46.2,120.6,19.3,59.8,61.84,11.2,12.6,3.7,11.7,45,64,0.703,92,146,0.63,10,33,0.303,4.0,1.1,35.8,So,6-9,34.0,2.38365,122.981,5.0,2016,33556,"Monclova, OH",83.0,0.49993124,80.0,111.0,12.0,35.0,0.7207,0.3429,6.0,6.0,1.0,103.643,99.0467,2.09897,111.929,3.25005,2.12778,1.12228,1.50647,19.6667,1.19516,0.311304,1.7879,2.0,3.7879,0.3636,0.3636,0.697,7.8485,PF/C,3.09269,1995-05-05,0
Oral Roberts,Sum,29,60.3,98.2,22.9,44.8,48.41,6.2,16.6,6.1,11.7,64,100,0.64,111,244,0.455,1,7,0.143,6.3,0.7,39.8,So,6-9,44.0,1.17494,101.968,3.0,2016,33558,"Cedar Hill, TX",,0.63634766,34.0,57.0,77.0,187.0,0.5965,0.4118,5.0,5.0,1.0,108.422,106.936,1.92236,131.819,-1.92012,-2.29002,0.369906,-1.0526,24.2069,-0.566916,-0.485684,1.2759,3.5172,4.7931,0.7241,0.3103,1.5862,9.9655,C,0.567868,1996-08-02,0
Oral Roberts,Sum,22,12.8,83.8,14.1,50.0,49.41,3.2,18.4,12.5,32.6,3,7,0.429,3,6,0.5,6,18,0.333,0.0,2.3,29.2,So,6-6,33.0,-0.275466,76.1325,4.6,2016,33559,"Springdale, AR",,0.91659032,3.0,5.0,0.0,1.0,0.6,0.0,1.0,1.0,1.0,107.897,107.291,0.528815,28.6055,-2.25532,-2.11654,-0.138776,-3.99512,6.7727,-3.68308,-0.312038,0.1818,1.0909,1.2727,0.5,0.2727,0.0,1.2273,Wing G,6.87906,1994-06-30,0
Oral Roberts,Sum,29,45.7,117.9,13.9,61.2,63.37,0.9,5.4,13.6,17.7,23,30,0.767,22,45,0.489,31,67,0.463,0.0,1.2,26.8,Jr,5-11,0.0,1.28293,108.161,3.2,2016,33562,"Edmond, OK",,1.73912495,10.0,20.0,12.0,25.0,0.5,0.48,0.0,0.0,,115.213,113.634,1.03228,70.9658,-0.672772,2.05423,-2.727,-1.21199,18.3448,0.355664,-1.56765,0.1379,0.8621,1.0,1.3793,0.3793,0.0,5.5172,Scoring PG,7.17175,1993-11-04,0
Purdue,B10,35,35.3,115.1,29.2,59.4,62.9,10.0,18.4,7.5,15.7,90,126,0.714,126,212,0.594,0,0,0.0,5.4,0.5,59.4,So,7-2,44.0,2.19607,132.696,4.6,2016,33564,"Gadsden, AL",83.8,0.41021269,69.0,87.0,57.0,125.0,0.7931,0.456,13.0,16.0,0.8125,93.7638,89.7153,1.97189,101.061,4.0188,2.19802,1.82078,7.09596,14.2857,4.68631,2.40965,1.1714,2.5143,3.6857,0.4571,0.1143,0.7714,9.7714,C,0.0,1995-10-02,0
Purdue,B10,13,4.2,103.1,24.0,55.6,53.87,18.2,19.2,9.5,20.5,4,9,0.444,7,13,0.538,2,5,0.4,6.7,2.0,50.0,Fr,6-10,23.0,0.312461,107.618,9.3,2016,33566,"Chestnut Hill, MA",50.4,0.60010399,6.0,8.0,1.0,5.0,0.75,0.2,0.0,0.0,,88.8177,88.7284,0.653422,14.4211,6.94031,2.35803,4.58227,0.596074,4.6154,-2.23473,2.8308,0.6923,0.8462,1.5385,0.2308,0.1538,0.3077,1.8462,PF/C,4.9508,1995-03-17,0
Purdue,B10,35,47.0,123.4,14.0,54.8,57.03,0.4,11.8,21.2,13.3,19,22,0.864,20,43,0.465,44,114,0.386,0.3,1.0,14.0,So,6-4,31.0,1.89386,116.953,3.2,2016,33567,"Lima, OH",56.6,3.90483324,4.0,9.0,16.0,34.0,0.4444,0.4706,0.0,0.0,,98.81,94.5436,2.30766,108.474,5.11489,4.15027,0.964625,5.06538,19.0,2.60626,2.45912,0.0571,2.1429,2.2,2.3429,0.3143,0.0571,5.4571,Scoring PG,10.087,1995-07-11,0
Purdue,B10,35,55.9,133.5,12.4,57.0,62.82,3.1,6.9,19.3,13.8,53,64,0.828,22,46,0.478,34,82,0.415,0.0,1.8,50.0,So,5-10,3.0,2.76413,123.545,2.8,2016,33568,"Indianapolis, IN",29.4,4.04367657,12.0,24.0,10.0,22.0,0.5,0.4545,0.0,0.0,,99.2299,94.9454,2.71373,126.46,7.00886,5.55525,1.45361,5.64027,22.6,2.69278,2.94749,0.5714,1.4857,2.0571,2.6571,0.6857,0.0,5.6857,Scoring PG,6.10038,1996-02-24,0
Rutgers,B10,31,66.9,83.1,23.2,42.6,45.75,2.0,12.4,23.0,24.3,46,67,0.687,98,232,0.422,12,40,0.3,1.5,2.3,24.6,Sr,6-3,2.0,0.0464877,88.4208,2.7,2016,33570,"Raleigh, NC",58.4,1.07060795,68.0,115.0,30.0,117.0,0.5913,0.2564,5.0,9.0,0.5556,111.311,107.35,2.09684,153.707,-2.94737,-3.16538,0.218014,-3.08353,27.0968,-2.49055,-0.592976,0.5161,3.2258,3.7419,2.9355,1.0968,0.4194,8.9677,Combo G,2.65582,1992-11-02,0
Rutgers,B10,14,5.2,80.3,12.9,33.3,31.35,3.3,12.9,14.2,6.7,0,2,0.0,2,8,0.25,2,7,0.286,5.9,0.9,13.3,Jr,5-10,13.0,-0.230473,73.6148,4.9,2016,33572,"Willingboro, NJ",,5.00140058,0.0,1.0,2.0,7.0,0.0,0.2857,0.0,0.0,,111.804,109.619,0.327076,11.6355,-2.43608,-3.4834,1.04732,-3.83861,4.6429,-3.27062,-0.567996,0.1429,0.5714,0.7143,0.3571,0.0714,0.2857,0.7143,PF/C,5.97942,1994-10-15,0
Portland St.,BSky,25,39.7,102.5,17.2,50.4,51.42,9.3,12.8,9.5,16.4,12,19,0.632,66,130,0.508,0,1,0.0,8.6,1.9,14.5,Sr,6-8,2.0,0.51006,95.8917,5.6,2016,33573,"Portland, OR",,1.04166669,40.0,51.0,26.0,79.0,0.7843,0.3291,11.0,11.0,1.0,104.495,107.38,1.44226,96.1371,0.971144,-1.77429,2.74543,-1.15389,18.44,-1.99315,0.839254,1.56,2.08,3.64,1.0,0.64,1.64,5.76,C,0.118322,1993-09-03,0
Nebraska Omaha,Sum,30,40.3,99.3,15.8,49.0,50.63,2.3,11.5,6.3,14.7,15,21,0.714,15,42,0.357,39,108,0.361,0.6,1.8,14.0,Sr,6-2,5.0,0.246079,92.3164,4.8,2016,33575,"Tulsa, OK",,0.86363021,10.0,24.0,5.0,18.0,0.4167,0.2778,0.0,0.0,,110.032,110.086,1.11027,83.8614,-1.97113,0.0648025,-2.03593,-2.70345,16.3333,-1.00083,-1.70262,0.3333,1.6333,1.9667,0.6333,0.5667,0.1,5.4,Wing G,11.4459,1993-07-04,0
Massachusetts,A10,32,59.5,93.4,10.8,41.7,47.02,2.6,15.5,14.9,24.5,27,36,0.75,29,67,0.433,9,35,0.257,0.5,1.8,35.3,So,6-6,23.0,-0.449842,82.4769,2.8,2016,33580,"Arlington, TN",43.2,1.81093234,21.0,37.0,8.0,30.0,0.5676,0.2667,2.0,2.0,1.0,104.527,102.426,2.27208,142.532,-0.594435,-2.42234,1.8279,-1.34582,24.1875,-2.79704,1.45122,0.5625,3.4688,4.0312,2.0938,0.7812,0.125,3.5,Wing G,2.51345,1996-05-10,0
Massachusetts,A10,32,72.8,106.8,23.9,52.1,54.57,1.6,7.0,22.8,13.3,64,87,0.736,127,252,0.504,48,130,0.369,0.8,2.8,22.8,Sr,6-0,5.0,2.63115,113.943,2.8,2016,33581,"Mount Vernon, NY",83.4,1.77777778,84.0,144.0,43.0,108.0,0.5833,0.3981,6.0,6.0,1.0,105.858,103.731,2.64802,164.039,1.9498,2.3031,-0.353302,3.16518,29.5938,2.31009,0.855083,0.4375,1.9062,2.3438,3.0,1.4688,0.2188,14.4375,Scoring PG,7.63012,1993-03-11,0
Nebraska Omaha,Sum,11,2.4,25.1,17.0,0.0,0.0,7.7,15.8,9.5,73.5,0,0,0.0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,So,5-9,25.0,-0.585577,23.1827,4.1,2016,33582,"Shawnee, KS",,0.28566939,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,112.883,113.928,0.144657,4.24476,-16.568,-14.7619,-1.80609,-18.8181,2.6364,-12.0775,-6.74057,0.1818,0.3636,0.5455,0.1818,0.0,0.0,0.0,PF/C,0.0,1996-04-22,0
Nebraska Omaha,Sum,30,69.5,112.2,22.4,56.9,58.9,7.3,19.2,8.7,14.0,88,136,0.647,153,257,0.595,13,46,0.283,4.0,1.5,44.9,So,6-7,15.0,2.53672,114.23,4.4,2016,33583,"Omaha, NE",,0.76470583,90.0,121.0,63.0,136.0,0.7438,0.4632,29.0,33.0,0.8788,106.287,106.34,2.27359,171.903,1.74326,1.44654,0.296725,1.87012,28.1333,2.3545,-0.484376,1.8333,4.7,6.5333,1.3,0.8333,1.1333,14.4333,PF/C,2.82685,1995-12-15,0
California,P12,5,0.9,52.3,21.9,33.3,25.64,0.0,24.5,0.0,0.0,1,6,0.167,1,3,0.333,0,0,0.0,0.0,4.5,200.0,So,6-7,42.0,-0.321955,52.2348,3.1,2016,33587,"Aptos, CA",,0.0,0.0,1.0,1.0,2.0,0.0,0.5,0.0,0.0,,88.4595,88.7228,0.371684,3.36506,-11.6789,-10.1951,-1.48372,-7.84256,2.6,-8.86647,1.02391,0.0,0.6,0.6,0.0,0.2,0.0,0.6,Wing F,0.0,1996-02-21,0
California,P12,31,24.4,86.6,9.8,60.6,56.0,5.6,13.6,3.0,33.6,6,17,0.353,20,33,0.606,0,0,0.0,9.3,0.7,51.5,So,7-1,22.0,-0.434808,76.1847,7.3,2016,33589,"Phoenix, AZ",25.8,0.31571217,19.0,27.0,1.0,6.0,0.7037,0.1667,6.0,7.0,0.8571,94.5945,89.8183,1.48579,70.4479,4.7776,-2.49367,7.27127,1.72684,10.8065,-4.34313,6.06997,0.5161,1.3871,1.9032,0.1935,0.129,1.0645,1.4839,C,0.0,1995-04-24,0
Gonzaga,WCC,35,84.1,120.3,26.3,58.0,61.75,5.8,14.0,9.3,13.6,123,144,0.854,164,310,0.529,89,203,0.438,2.3,0.6,28.1,Sr,6-10,33.0,5.17609,132.248,2.2,2016,33592,"Portland, OR",96.2,0.73613337,70.0,97.0,94.0,213.0,0.7216,0.4413,0.0,0.0,,98.3448,95.4829,4.02125,207.445,6.08003,5.11135,0.968683,8.39899,33.7714,7.45459,0.944403,1.6,4.6,6.2,1.5143,0.3714,0.8,20.5143,Stretch 4,10.0615,1992-10-20,0
Morgan St.,MEAC,14,8.2,71.4,14.4,31.8,36.82,1.0,8.3,3.7,20.1,5,8,0.625,1,6,0.167,4,16,0.25,0.0,1.2,36.4,So,6-3,12.0,-0.544941,65.5139,10.5,2016,33600,"Roselle, NJ",,0.40016802,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,,105.986,107.252,0.551319,15.5812,-8.37174,-6.0298,-2.34194,-12.6475,7.0714,-10.8323,-1.81521,0.0714,0.5,0.5714,0.1429,0.1429,0.0,1.3571,Stretch 4,9.28828,1995-05-04,0
Morgan St.,MEAC,30,25.5,91.5,19.9,47.2,47.6,4.0,10.6,5.0,16.0,9,18,0.5,22,44,0.5,19,63,0.302,0.0,0.8,16.8,So,6-2,11.0,0.0283456,88.7226,4.3,2016,33602,"Aurora, IL",,0.41168168,11.0,18.0,11.0,26.0,0.6111,0.4231,0.0,0.0,,106.864,111.806,0.640007,46.2919,-6.34125,-2.96566,-3.37558,-5.34226,10.2667,-2.77873,-2.56353,0.4,0.9333,1.3333,0.2333,0.1333,0.0,3.6667,Wing G,11.7606,1995-03-03,0
N.C. State,ACC,33,70.2,108.5,24.9,49.0,52.05,13.3,20.0,9.5,14.2,97,154,0.63,165,337,0.49,0,0,0.0,2.6,0.8,45.7,So,6-8,0.0,3.07256,119.442,3.8,2016,33605,"Meriden, NH",91.0,0.73681463,123.0,190.0,42.0,146.0,0.6474,0.2877,53.0,56.0,0.9464,106.731,100.456,2.87201,174.1,1.68486,1.93317,-0.248307,2.1684,28.303,2.89049,-0.722094,3.5758,5.1818,8.7576,1.2727,0.3636,0.697,12.9394,C,0.0,1995-09-16,0
N.C. State,ACC,2,0.2,200.0,13.1,100.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0.0,0.0,0.0,So,6-0,13.0,0.331302,183.396,0.0,2016,33606,"Raleigh, NC",,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,,118.887,128.022,0.00658833,0.186704,3.08445,7.48531,-4.40085,18.6656,1.0,15.7506,2.91502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Combo G,0.0,1994-11-20,0
Nebraska,B10,24,13.8,92.6,16.4,48.3,51.43,9.2,11.4,4.6,24.9,16,29,0.552,14,27,0.519,0,2,0.0,1.8,2.8,100.0,So,6-7,23.0,0.0410975,89.4321,5.7,2016,33620,"Sun Prairie, WI",66.4,0.38453017,9.0,13.0,5.0,14.0,0.6923,0.3571,4.0,4.0,1.0,101.491,101.46,0.773692,34.6754,-0.558284,-1.75828,1.19999,-2.23346,7.875,-3.54829,1.31483,0.625,0.75,1.375,0.2083,0.375,0.125,1.8333,PF/C,0.627353,1995-05-02,0
Boston University,Pat,30,67.0,99.5,22.7,51.1,55.26,1.5,9.4,7.2,17.9,80,103,0.777,55,100,0.55,70,213,0.329,0.4,2.1,32.9,So,6-3,15.0,1.32948,100.938,2.6,2016,33628,"Oceanport, NJ",,0.49204766,32.0,59.0,23.0,41.0,0.5424,0.561,0.0,0.0,,106.023,109.377,2.09805,149.069,-2.21528,0.277693,-2.49298,-1.38283,29.8,0.259527,-1.64236,0.3667,2.5667,2.9333,1.0333,1.0667,0.1,13.3333,Combo G,13.6906,1995-10-03,0
SIU Edwardsville,OVC,28,39.6,81.5,24.5,38.8,45.3,8.0,16.5,6.6,25.9,46,65,0.708,52,126,0.413,1,12,0.083,5.7,0.9,47.1,So,6-8,24.0,-0.226576,83.7937,7.0,2016,33631,"Springfield, IL",,0.27083941,21.0,42.0,31.0,84.0,0.5,0.369,2.0,2.0,1.0,106.074,105.983,1.31433,82.816,-7.04279,-7.1737,0.130914,-7.4717,15.9643,-6.99479,-0.476907,1.1786,2.1786,3.3571,0.4643,0.25,0.8571,5.4643,C,1.58218,1996-01-08,0
Lamar,Slnd,20,15.2,83.0,14.3,35.5,38.39,6.5,10.7,9.3,21.5,4,5,0.8,9,18,0.5,3,20,0.15,0.0,2.8,13.2,So,6-5,12.0,-0.426465,72.3633,5.3,2016,33634,"Sour Lake, TX",,0.88888893,8.0,14.0,1.0,4.0,0.5714,0.25,0.0,0.0,,107.86,111.383,0.508175,29.2438,-5.8628,-3.76807,-2.09473,-6.77984,7.9,-5.4323,-1.34755,0.5,0.75,1.25,0.4,0.4,0.0,1.55,Wing G,6.8414,1996-03-24,0
Ohio St.,B10,23,8.9,113.1,13.6,46.2,53.28,16.2,13.4,1.4,13.7,14,24,0.583,6,13,0.462,0,0,0.0,5.2,0.5,184.6,Fr,6-10,10.0,0.336597,105.82,7.6,2016,33635,"Cleveland, OH",62.4,0.25014376,6.0,11.0,0.0,2.0,0.5455,0.0,4.0,4.0,1.0,100.424,97.9105,0.60195,22.3824,0.286697,-0.327779,0.614476,-1.16739,5.4783,-2.17588,1.00849,0.7826,0.6957,1.4783,0.0435,0.0435,0.2609,1.1304,C,0.0,1996-01-03,0
Ohio St.,B10,33,73.2,109.4,18.7,51.1,54.91,5.2,16.5,7.2,13.5,70,89,0.787,105,200,0.525,36,111,0.324,4.3,1.4,28.6,So,6-7,33.0,2.52095,111.235,2.3,2016,33637,"Normal, IL",94.4,0.80001462,66.0,92.0,39.0,108.0,0.7174,0.3611,14.0,15.0,0.9333,98.079,94.5835,3.82093,203.288,4.66866,1.65202,3.01664,4.79531,31.5152,2.60629,2.18902,1.4545,4.9091,6.3636,1.0909,0.7273,1.2424,11.7576,Stretch 4,6.25346,1996-01-23,1
Grand Canyon,WAC,32,76.3,124.3,21.6,52.6,62.13,5.8,12.8,6.5,11.0,186,216,0.861,64,134,0.478,65,173,0.376,2.3,1.4,70.4,So,6-4,2.0,3.86741,124.418,2.7,2016,33640,"Anthem, AZ",,0.80487044,51.0,98.0,13.0,35.0,0.5204,0.3714,2.0,2.0,1.0,98.2258,101.6,3.00088,180.555,5.14703,4.39672,0.750316,6.02621,30.6562,5.20071,0.825497,1.625,3.5312,5.1562,1.0312,0.75,0.6562,15.9062,Wing G,10.0331,1994-07-07,0
North Texas,CUSA,29,77.5,112.2,21.8,59.2,60.18,11.8,25.6,5.6,16.4,105,175,0.6,157,265,0.592,0,0,0.0,2.5,2.4,66.0,So,6-7,1.0,2.76251,112.746,3.9,2016,33642,"Dallas, TX",,0.4,136.0,167.0,21.0,98.0,0.8144,0.2143,37.0,37.0,1.0,104.944,106.27,2.6318,207.151,1.03373,1.02415,0.00957305,2.20712,32.2069,2.98571,-0.778593,3.4828,7.1379,10.6207,0.8276,1.3793,0.7586,14.4483,PF/C,0.0,1995-11-24,0
Penn,Ivy,22,23.0,77.9,11.7,40.5,41.36,7.7,14.1,6.6,31.7,1,1,1.0,15,34,0.441,0,3,0.0,5.6,0.5,2.7,So,6-8,40.0,-0.730146,69.2679,4.9,2016,33645,"River Forest, IL",,0.56249141,14.0,26.0,1.0,8.0,0.5385,0.125,0.0,0.0,,104.254,103.711,1.02596,45.195,-3.74184,-5.92104,2.17919,-5.01649,11.4091,-5.5569,0.540408,0.7727,1.4545,2.2273,0.4091,0.0909,0.6364,1.4091,C,0.697708,1995-10-15,0
North Texas,CUSA,28,10.2,68.8,14.3,25.0,35.87,4.4,5.6,2.7,22.2,12,25,0.48,4,15,0.267,0,1,0.0,0.0,2.8,156.3,So,6-2,2.0,-0.394439,61.9285,6.8,2016,33646,"New Orleans, LA",,0.28560001,4.0,8.0,0.0,7.0,0.5,0.0,0.0,0.0,,112.314,113.921,0.242801,19.9288,-7.85713,-5.66686,-2.19028,-9.79939,4.3929,-8.1401,-1.65928,0.1786,0.2143,0.3929,0.0714,0.2143,0.0,0.7143,Wing G,0.453025,1995-10-15,0
North Texas,CUSA,5,1.2,0.0,14.5,0.0,0.0,0.0,8.3,0.0,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0.0,0.0,50.0,Sr,6-3,12.0,-0.860648,-0.66013,8.6,2016,33650,"Houston, TX",,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,117.163,114.753,0.147362,1.71789,-19.4621,-12.1072,-7.3549,-23.8541,2.8,-16.7411,-7.11297,0.0,0.2,0.2,0.0,0.0,0.0,0.0,PF/C,7.70143,1994-01-14,0
North Texas,CUSA,19,4.6,41.2,10.1,10.0,18.26,1.9,8.3,0.0,19.8,2,2,1.0,1,2,0.5,0,8,0.0,0.0,0.0,20.0,Sr,5-11,30.0,-0.553707,33.7806,6.4,2016,33651,"New Orleans, LA",,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,117.437,118.571,0.116075,6.74693,-12.7794,-7.26051,-5.51891,-15.7828,2.9474,-10.8017,-4.98103,0.0526,0.2105,0.2632,0.0,0.0,0.0,0.2105,PF/C,8.03628,1993-10-15,0
Wagner,NEC,31,39.0,99.3,17.2,44.7,50.52,0.8,5.7,14.8,21.9,36,43,0.837,20,53,0.377,26,79,0.329,0.7,1.7,32.6,So,5-10,1.0,0.200348,91.3963,3.5,2016,33654,"Deer Park, NY",,1.24246129,16.0,36.0,4.0,17.0,0.4444,0.2353,0.0,0.0,,100.887,107.198,1.30969,77.4778,-3.91093,-2.15256,-1.75837,-3.11725,16.6774,-2.70314,-0.414114,0.129,0.8387,0.9677,1.3226,0.4839,0.0968,4.9677,Scoring PG,9.0146,1996-01-19,0
Wagner,NEC,33,75.2,114.7,21.3,53.6,57.01,2.2,9.0,19.9,16.4,69,83,0.831,78,172,0.453,73,178,0.41,0.1,2.3,23.7,So,6-3,0.0,2.52905,112.16,3.1,2016,33655,"Upper Marlboro, MD",,1.59320994,36.0,88.0,41.0,83.0,0.4091,0.494,0.0,0.0,,98.6214,104.293,2.67388,166.879,1.68043,2.51528,-0.834849,3.41346,30.1818,2.71486,0.698601,0.6061,2.3939,3.0,2.8485,1.1818,0.0303,13.4545,Scoring PG,10.5338,1996-05-23,0
IU Indy,Sum,13,5.2,68.7,13.9,42.9,42.14,0.0,5.5,0.0,25.5,1,3,0.333,0,3,0.0,4,11,0.364,3.1,0.9,21.4,So,6-5,31.0,-0.4214,63.6322,3.7,2016,33661,"Whiteland, IN",,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,,108.932,105.752,0.419328,9.43467,-7.49004,-6.35166,-1.13837,-6.27473,5.0,-4.82344,-1.45128,0.0,0.2308,0.2308,0.0,0.0769,0.1538,1.0,Combo G,9.72918,1995-10-15,0
Marshall,CUSA,10,1.7,69.9,22.3,35.0,35.0,4.5,4.5,6.9,19.9,0,0,0.0,2,2,1.0,1,8,0.125,0.0,0.0,0.0,So,6-4,3.0,-0.14727,69.4678,5.2,2016,33662,"Pineville, WV",,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,116.488,116.342,0.108368,2.82218,-11.7307,-5.49778,-6.2329,-15.0626,2.3,-7.62323,-7.43936,0.1,0.1,0.2,0.1,0.0,0.0,0.7,PF/C,18.1074,1995-10-15,0
